"_iterations","baselearner","train_risk"
346,"cp_source_tensor",0.524816335266385
347,"thalach_spline",0.524695511422169
348,"exang_source_tensor",0.524620156074591
349,"cp_source_tensor",0.524544860397152
350,"exang_source_tensor",0.524469892944304
351,"exang_source_tensor",0.524395169005106
352,"cp_source_tensor",0.524320429788756
353,"exang_source_tensor",0.524246090252308
354,"oldpeak_spline",0.524140225019846
355,"cp_source_tensor",0.52406595862516
356,"sex_one-hot",0.523924899911149
357,"cp_source_tensor",0.523851023390415
358,"exang_source_tensor",0.52377745292461
359,"exang_source_tensor",0.523704121074785
360,"cp_source_tensor",0.523630789190912
361,"exang_source_tensor",0.523557833729308
362,"cp_source_tensor",0.523484904022404
363,"exang_source_tensor",0.523412322768449
364,"cp_source_tensor",0.523339792760842
365,"exang_source_tensor",0.52326758354666
366,"exang_source_tensor",0.523195608330235
367,"cp_source_tensor",0.523123611452532
368,"exang_source_tensor",0.523052004925043
369,"cp_source_tensor",0.52298040189411
370,"oldpeak_spline",0.522878699871269
371,"cp_source_tensor",0.522807412005284
372,"exang_source_tensor",0.522736438405024
373,"cp_source_tensor",0.52266554006596
374,"exang_source_tensor",0.522594929301899
375,"sex_one-hot",0.522460604698773
376,"exang_source_tensor",0.522390322021785
377,"cp_source_tensor",0.522320057289865
378,"exang_source_tensor",0.522250133544192
379,"thalach_spline",0.52213965238498
380,"cp_source_tensor",0.522069931017131
381,"exang_source_tensor",0.522000551200603
382,"cp_source_tensor",0.521931209728294
383,"exang_source_tensor",0.521862183585903
384,"cp_source_tensor",0.521793219667349
385,"exang_source_tensor",0.52172454515123
386,"oldpeak_spline",0.521627127483053
387,"cp_source_tensor",0.521558592389044
388,"exang_source_tensor",0.521490391605569
389,"cp_source_tensor",0.521422229040842
390,"exang_source_tensor",0.521354375206209
391,"cp_source_tensor",0.521286582874343
392,"exang_source_tensor",0.52121907397994
393,"exang_source_tensor",0.521151782834284
394,"cp_source_tensor",0.521084483653914
395,"exang_source_tensor",0.521017534342136
396,"cp_source_tensor",0.520950599973929
397,"sex_one-hot",0.520823232485483
398,"exang_source_tensor",0.520756714453281
399,"cp_source_tensor",0.520690248455395
400,"exang_source_tensor",0.52062406772878
401,"oldpeak_spline",0.520530330479226
402,"cp_source_tensor",0.520464274393129
403,"exang_source_tensor",0.520398546507713
404,"cp_source_tensor",0.520332847623477
405,"exang_source_tensor",0.520267452567596
406,"thalach_spline",0.520165065291829
407,"cp_source_tensor",0.520099865076661
408,"exang_source_tensor",0.520034967567049
409,"cp_source_tensor",0.519970119294018
410,"exang_source_tensor",0.519905549784951
411,"exang_source_tensor",0.519841187814849
412,"cp_source_tensor",0.519776807886391
413,"exang_source_tensor",0.519712770965656
414,"cp_source_tensor",0.519648737830277
415,"exang_source_tensor",0.519585024079771
416,"cp_source_tensor",0.519521335600992
417,"sex_one-hot",0.519400276879281
418,"oldpeak_spline",0.519310424212246
419,"exang_source_tensor",0.51924722647443
420,"cp_source_tensor",0.519184025017034
421,"exang_source_tensor",0.519121145639526
422,"cp_source_tensor",0.519058283764091
423,"exang_source_tensor",0.518995720907818
424,"cp_source_tensor",0.518933196522912
425,"exang_source_tensor",0.51887094835985
426,"cp_source_tensor",0.518808759387126
427,"exang_source_tensor",0.518746824100256
428,"exang_source_tensor",0.518685087290696
429,"cp_source_tensor",0.518623344263309
430,"thalach_spline",0.518527644726263
431,"exang_source_tensor",0.518466368270198
432,"cp_source_tensor",0.518405085650535
433,"exang_source_tensor",0.518344116576094
434,"oldpeak_spline",0.518257948116703
435,"cp_source_tensor",0.518197036201622
436,"cp_source_tensor",0.518136339672217
437,"exang_source_tensor",0.518075889630081
438,"sex_one-hot",0.517960773933328
439,"exang_source_tensor",0.517900594881465
440,"cp_source_tensor",0.51784042303681
441,"exang_source_tensor",0.517780545074897
442,"cp_source_tensor",0.517720694131422
443,"exang_source_tensor",0.517661115524123
444,"cp_source_tensor",0.517601583508024
445,"exang_source_tensor",0.517542302530513
446,"cp_source_tensor",0.517483087480436
447,"exang_source_tensor",0.517424102418344
448,"oldpeak_spline",0.517340963891739
449,"cp_source_tensor",0.517282104113802
450,"exang_source_tensor",0.517223511635342
451,"cp_source_tensor",0.517164964642527
452,"exang_source_tensor",0.517106664192916
453,"cp_source_tensor",0.517048428062861
454,"exang_source_tensor",0.516990417961366
455,"exang_source_tensor",0.516932592796026
456,"thalach_spline",0.516843401264997
457,"cp_source_tensor",0.516785695059443
458,"exang_source_tensor",0.516728291476189
459,"sex_one-hot",0.516618779190099
460,"cp_source_tensor",0.516561463642887
461,"exang_source_tensor",0.516504416684591
462,"cp_source_tensor",0.516447404451921
463,"exang_source_tensor",0.516390640699134
464,"cp_source_tensor",0.516333929918798
465,"oldpeak_spline",0.516254085142283
466,"exang_source_tensor",0.516197695435996
467,"cp_source_tensor",0.516141321226294
